h k A B C mred
0 0 4 -4 128 0.002477123375931993
0 1 3 -3 115 0.004230208532030876
0 2 3 -2 102 0.0053434092398029764
0 3 3 -2 93 0.0036145407756282156
0 4 3 -2 85 0.0056895515081035455
0 5 2 -2 81 0.008170791585714435
0 6 2 -1 73 0.004541812440035518
0 7 2 -1 68 0.003030462720274923
1 0 4 -4 143 0.0028203816610007635
1 1 3 -3 128 0.0038150110382040438
1 2 3 -3 116 0.002368872765811752
1 3 3 -2 104 0.0036071226659231824
1 4 3 -2 95 0.0052735919837848646
1 5 2 -2 90 0.005437799641773466
1 6 2 -1 82 0.0058844240770248475
1 7 2 -1 76 0.0060067490517883085
2 0 4 -5 160 0.0026476727784739006
2 1 3 -4 144 0.003756855342884738
2 2 3 -3 128 0.0008903066489037338
2 3 3 -3 117 0.004315206107831711
2 4 3 -2 106 0.005069428338989781
2 5 2 -2 100 0.004993460903349402
2 6 2 -2 93 0.005213829282245672
2 7 2 -1 85 0.005309492169046856
3 0 4 -5 175 0.0025874945173609766
3 1 3 -4 157 0.002479595680059781
3 2 3 -3 140 0.002574423204529288
3 3 3 -3 128 0.0022723625669586163
3 4 3 -2 116 0.004662846765941917
3 5 2 -2 109 0.0034375811905182473
3 6 2 -2 102 0.004693656507152346
3 7 2 -2 95 0.004969934251319953
4 0 4 -6 192 0.002893987464530527
4 1 3 -4 170 0.0038428696740676737
4 2 3 -4 154 0.0035482643377172194
4 3 3 -3 139 0.0021357713295116275
4 4 3 -3 128 0.004584778390078414
4 5 2 -2 119 0.004700367133252084
4 6 2 -2 110 0.0036891830361689302
4 7 2 -2 103 0.0037518082625798365
5 0 4 -6 208 0.0025304364965004988
5 1 3 -5 186 0.0024629831108674807
5 2 3 -4 167 0.0019125636084452201
5 3 3 -3 150 0.0030387031999794057
5 4 3 -3 138 0.003863086518576033
5 5 2 -2 128 0.003844762998551856
5 6 2 -2 119 0.0022074115352243816
5 7 2 -2 112 0.004260994251010806
6 0 4 -6 223 0.0028687719432709253
6 1 3 -5 199 0.002956376607476599
6 2 3 -4 179 0.001564940757260809
6 3 3 -4 163 0.0037990347670586377
6 4 3 -3 149 0.003705106213026705
6 5 2 -3 140 0.004774093039198921
6 6 2 -2 128 0.0021458459963216176
6 7 2 -2 120 0.001809949542769291
7 0 4 -7 240 0.0019129681747571277
7 1 3 -5 213 0.002871364261750625
7 2 3 -4 191 0.0026536114724507605
7 3 3 -4 175 0.002756659057010496
7 4 3 -3 159 0.0030446769441884436
7 5 2 -3 149 0.0030598799109020016
7 6 2 -2 137 0.0031010567814072497
7 7 2 -2 128 0.0006663027129123175
